Letter;W;H;Q1;Q2;Q3;Q4;Q1_rel;Q2_rel;Q3_rel;Q4_rel;cx;cy;cx_rel;cy_rel;Ix;Iy;Ix_norm;Iy_norm
A;38;35;72;87;111;150;0.22291021671826625;0.2693498452012384;0.34365325077399383;0.46439628482972134;18.86190476190476;19.383333333333333;0.4963659147869674;0.5538095238095238;42247.28333333333;27423.99047619048;31.76487468671679;20.619541711421412
B;32;34;141;131;134;137;0.5183823529411765;0.48161764705882354;0.49264705882352944;0.5036764705882353;15.550644567219154;16.63720073664825;0.48595764272559855;0.4893294334308309;59923.52854511971;43518.35727440147;55.07677255985268;39.998490141913116
C;30;36;118;66;118;65;0.43703703703703706;0.24444444444444444;0.43703703703703706;0.24074074074074073;11.907356948228882;17.416893732970028;0.39691189827429607;0.4838026036936119;56789.21525885559;34286.85013623978;52.582606721162584;31.747083459481278
D;35;34;131;131;131;125;0.4532871972318339;0.4532871972318339;0.4532871972318339;0.43252595155709345;17.252895752895753;16.384169884169886;0.4929398786541644;0.4818873495344084;62062.55019305019;61061.87065637065;52.15340352357159;51.312496349891305
E;29;34;126;83;130;89;0.5294117647058824;0.3487394957983193;0.5462184873949579;0.3739495798319328;12.58411214953271;16.577102803738317;0.4339349017080245;0.48756184716877404;54524.45560747663;25201.971962616823;55.298636518738974;25.55980929271483
F;27;34;122;89;122;39;0.5520361990950227;0.40271493212669685;0.5520361990950227;0.17647058823529413;11.198924731182796;14.301075268817204;0.41477499004380725;0.4206198608475648;40464.279569892475;18299.27956989247;44.07873591491555;19.933855740623606
G;34;36;124;59;124;128;0.40522875816993464;0.19281045751633988;0.40522875816993464;0.41830065359477125;14.32183908045977;18.445977011494254;0.4212305611899932;0.5123882503192848;59591.480459770115;48488.942528735635;48.685850048831796;39.61514912478402
H;36;34;136;134;128;127;0.4444444444444444;0.43790849673202614;0.41830065359477125;0.4150326797385621;17.114285714285714;16.457142857142856;0.4753968253968254;0.4840336134453781;57760.28571428571;57073.14285714286;47.18977591036414;46.62838468720822
I;15;34;44;76;44;76;0.3697478991596639;0.6386554621848739;0.3697478991596639;0.6386554621848739;7.375;16.5;0.49166666666666664;0.4852941176470588;28860.0;1656.25;56.588235294117645;3.247549019607843
J;19;35;8;110;40;89;0.05228758169934641;0.7189542483660131;0.26143790849673204;0.5816993464052288;10.072874493927126;17.214574898785425;0.5301512891540593;0.491844997108155;30593.62753036437;3428.6882591093113;46.005454932878756;5.1559221941493405
K;37;34;154;80;142;127;0.5032679738562091;0.26143790849673204;0.46405228758169936;0.4150326797385621;14.836978131212724;17.03976143141153;0.4009994089516953;0.5011694538650451;55033.20477137177;41390.632206759445;43.746585668816984;32.90193339170067
L;28;34;118;4;122;66;0.4957983193277311;0.01680672268907563;0.5126050420168067;0.2773109243697479;10.05483870967742;19.412903225806453;0.3591013824884793;0.5709677419354839;40059.14838709678;15712.067741935483;42.07893738140418;16.504272838167523
M;44;34;179;167;181;168;0.4786096256684492;0.446524064171123;0.4839572192513369;0.44919786096256686;21.690647482014388;16.666187050359714;0.4929692609548724;0.49018197206940334;68310.55539568345;113518.4892086331;45.66213595968145;75.88134305389913
N;36;34;169;92;89;137;0.5522875816993464;0.3006535947712418;0.2908496732026144;0.4477124183006536;16.548254620123203;15.480492813141684;0.4596737394478667;0.455308612151226;48987.56468172485;46898.616016427106;40.02252016480789;38.315862758518875
O;34;36;123;122;120;123;0.4019607843137255;0.39869281045751637;0.39215686274509803;0.4019607843137255;16.395491803278688;17.44467213114754;0.4822203471552555;0.4845742258652095;58648.50614754099;64132.670081967204;47.915446198971395;52.39597228918889
P;26;34;119;117;125;40;0.5384615384615384;0.5294117647058824;0.5656108597285068;0.18099547511312217;11.800498753117207;14.216957605985037;0.4538653366583541;0.4181458119407364;39638.1246882793;20092.039900249376;44.83950756592681;22.728551923359024
Q;35;44;147;149;96;176;0.393048128342246;0.3983957219251337;0.25668449197860965;0.47058823529411764;17.758802816901408;20.448943661971832;0.507394366197183;0.4647487195902689;92576.51936619717;71735.9559859155;60.1146229650631;46.58178960124383
R;34;34;134;114;142;122;0.46366782006920415;0.3944636678200692;0.4913494809688581;0.42214532871972316;14.67578125;16.48046875;0.431640625;0.4847196691176471;56251.8046875;36468.1796875;48.66073069852941;31.546868241782008
S;23;36;125;75;64;125;0.6313131313131313;0.3787878787878788;0.32323232323232326;0.6313131313131313;10.856041131105398;17.65809768637532;0.47200178830893036;0.49050271351042557;48183.526992287916;18419.938303341904;58.192665449623085;22.246302298722107
T;31;34;90;118;44;78;0.35294117647058826;0.4627450980392157;0.17254901960784313;0.3058823529411765;15.2;12.851515151515152;0.49032258064516127;0.37798573975044564;42711.72424242424;14684.800000000001;40.52345753550687;13.932447817836813
U;36;35;118;86;122;93;0.38562091503267976;0.28104575163398693;0.39869281045751637;0.30392156862745096;16.20525059665871;16.92601431980907;0.4501458499071864;0.483600409137402;52956.70644391408;46320.34844868735;42.02913209834451;36.76218130848202
