Letter;W;H;Q1;Q2;Q3;Q4;Q1_rel;Q2_rel;Q3_rel;Q4_rel;cx;cy;cx_rel;cy_rel;Ix;Iy;Ix_norm;Iy_norm
U10480_𐒀;27;39;80;121;117;115;0.32388663967611336;0.4898785425101215;0.47368421052631576;0.46558704453441296;13.854503464203233;20.22863741339492;0.5131297579334531;0.5186830105998698;54760.36489607391;27011.833718244805;52.004145200450054;25.652263740023557
U10481_𐒁;32;39;171;128;133;138;0.5625;0.42105263157894735;0.4375;0.45394736842105265;14.559649122807018;19.164912280701753;0.4549890350877193;0.49140800719748085;62820.49824561403;46028.47192982456;50.33693769680611;36.88178840530814
U10482_𐒂;33;39;107;90;39;174;0.3519736842105263;0.29605263157894735;0.12828947368421054;0.5723684210526315;16.878048780487806;20.026829268292683;0.5114560236511456;0.5135084427767355;38540.70487804878;28767.902439024387;29.94615763640154;22.352682547804495
U10483_𐒃;8;39;27;57;66;23;0.35526315789473684;0.75;0.868421052631579;0.3026315789473684;3.346820809248555;18.791907514450866;0.41835260115606937;0.4818437824218171;19640.508670520234;529.1907514450868;62.950348302949465;1.696124203349637
U10484_𐒄;35;39;155;108;89;175;0.47987616099071206;0.33436532507739936;0.2755417956656347;0.541795665634675;15.428842504743834;18.98292220113852;0.4408240715641095;0.48674159490098773;66882.84629981025;53301.0815939279;48.99842219766319;39.048411424123
U10485_𐒅;32;39;148;40;115;154;0.4868421052631579;0.13157894736842105;0.3782894736842105;0.506578947368421;12.954048140043763;20.940919037199123;0.4048140043763676;0.5369466419794647;59183.404814004374;35452.03501094092;47.422600011221455;28.40707933568984
U10486_𐒆;32;39;104;119;124;115;0.34210526315789475;0.39144736842105265;0.40789473684210525;0.3782894736842105;15.666666666666666;19.192640692640694;0.4895833333333333;0.4921189921189922;66613.85497835497;51816.666666666664;53.37648636086135;41.519764957264954
U10487_𐒇;21;39;38;109;0;89;0.2;0.5736842105263158;0.0;0.46842105263157896;14.186440677966102;14.40677966101695;0.675544794188862;0.3694046066927423;32992.94915254237;5069.796610169492;40.284431199685436;6.190227851244801
U10488_𐒈;24;39;99;65;112;113;0.4342105263157895;0.2850877192982456;0.49122807017543857;0.4956140350877193;11.185089974293058;20.588688946015424;0.4660454155955441;0.5279151011798826;50830.19023136247;16026.673521850898;54.30575879419067;17.1225144464219
U10489_𐒉;24;39;108;107;77;102;0.47368421052631576;0.4692982456140351;0.33771929824561403;0.4473684210526316;11.606598984771574;17.32233502538071;0.4836082910321489;0.44416243654822335;50700.063451776645;16112.022842639595;54.16673445702633;17.213699618204696
U1048A_𐒊;30;39;124;13;94;119;0.43508771929824563;0.0456140350877193;0.3298245614035088;0.41754385964912283;14.388571428571428;20.111428571428572;0.4796190476190476;0.5156776556776557;45938.65428571429;14849.154285714285;39.26380708180709;12.691584859584859
U1048B_𐒋;24;39;87;102;107;110;0.3815789473684211;0.4473684210526316;0.4692982456140351;0.4824561403508772;12.113300492610838;20.39408866995074;0.504720853858785;0.5229253505115574;45922.945812807884;15178.788177339902;49.06297629573492;16.216654035619552
U1048C_𐒌;31;39;173;23;115;165;0.6070175438596491;0.08070175438596491;0.40350877192982454;0.5789473684210527;12.596638655462185;20.699579831932773;0.40634318243426404;0.5307584572290455;58746.039915966394;32628.554621848736;48.59060373529065;26.98805179640094
U1048D_𐒍;27;39;126;64;48;128;0.5101214574898786;0.2591093117408907;0.19433198380566802;0.5182186234817814;12.314207650273223;19.633879781420767;0.4560817648249342;0.5034328149082248;44920.939890710375;18356.86612021858;42.65996190950653;17.432921291755537
U1048E_𐒎;38;39;125;182;202;177;0.3462603878116344;0.5041551246537396;0.5595567867036011;0.4903047091412742;19.606413994169095;19.755102040816325;0.5159582630044499;0.5065410779696494;93706.85714285713;73095.73177842566;63.22999807210333;49.32235612579329
U1048F_𐒏;21;39;83;105;83;106;0.4368421052631579;0.5526315789473685;0.4368421052631579;0.5578947368421052;10.63395225464191;19.045092838196286;0.5063786787924719;0.48833571379990476;40770.23342175066;12665.485411140584;49.780504788462345;15.464573151575804
U10490_𐒐;33;39;109;91;89;174;0.35855263157894735;0.2993421052631579;0.29276315789473684;0.5723684210526315;14.55291576673866;20.05831533477322;0.4409974474769291;0.514315777814698;62679.425485961125;41952.4535637149;48.7019623045541;32.597089016095495
U10491_𐒑;23;39;101;41;68;108;0.48325358851674644;0.19617224880382775;0.3253588516746411;0.5167464114832536;10.60691823899371;21.871069182389938;0.4611703582171178;0.5607966457023061;35115.71383647798;13181.864779874213;39.14795299495873;14.695501426838588
U10492_𐒒;24;39;61;96;125;93;0.2675438596491228;0.42105263157894735;0.5482456140350878;0.40789473684210525;11.232;20.168;0.46799999999999997;0.5171282051282051;55790.416;15902.816;59.6051452991453;16.990188034188034
U10493_𐒓;41;39;204;34;89;176;0.5368421052631579;0.08947368421052632;0.23421052631578948;0.4631578947368421;18.33797216699801;20.854870775347912;0.44726761382921976;0.5347402762909721;53138.4055666004;63154.54473161034;33.2322736501566;39.496275629524916
U10494_𐒔;25;39;98;96;114;99;0.4298245614035088;0.42105263157894735;0.5;0.4342105263157895;11.334152334152334;20.373464373464373;0.45336609336609335;0.5223965223965223;48633.233415233415;20996.555282555284;49.8802394002394;21.534928494928497
U10495_𐒕;24;39;131;59;115;90;0.5745614035087719;0.25877192982456143;0.5043859649122807;0.39473684210526316;9.541772151898734;19.640506329113926;0.39757383966244725;0.5036027263875366;54438.95189873417;15268.06075949367;58.161273396083516;16.312030725954777
U10496_𐒖;24;39;89;59;53;123;0.39035087719298245;0.25877192982456143;0.2324561403508772;0.5394736842105263;12.941358024691358;20.02777777777778;0.5392232510288065;0.5135327635327636;51424.75;10859.885802469136;54.94097222222222;11.60244209665506
