Letter;W;H;Q1;Q2;Q3;Q4;Q1_rel;Q2_rel;Q3_rel;Q4_rel;cx;cy;cx_rel;cy_rel;Ix;Iy;Ix_norm;Iy_norm
U10480_𐒀;38;54;181;225;220;200;0.35282651072124754;0.43859649122807015;0.42884990253411304;0.3898635477582846;19.081113801452783;27.2590799031477;0.5021345737224416;0.5047977759842167;199170.5569007264;99611.56537530267;97.06167490288811;48.54364784371475
U10481_𐒁;45;54;314;262;266;264;0.5286195286195287;0.44107744107744107;0.4478114478114478;0.4444444444444444;20.547920433996385;26.10397830018083;0.4566204540888086;0.48340700555890426;231109.0424954792;172861.96021699818;95.10660184999143;71.13660914279761
U10482_𐒂;47;54;233;190;54;323;0.3752012882447665;0.3059581320450886;0.08695652173913043;0.5201288244766505;23.98375;26.8075;0.5102925531914894;0.4964351851851852;149298.35499999998;105558.78874999999;58.82519897557131;41.59132732466509
U10483_𐒃;12;54;54;115;121;43;0.3333333333333333;0.7098765432098766;0.7469135802469136;0.2654320987654321;5.336336336336337;25.97897897897898;0.44469469469469475;0.48109220331442554;72624.85285285284;2006.3303303303303;112.07539020501981;3.0961887813739666
U10484_𐒄;49;54;305;212;160;326;0.470679012345679;0.3271604938271605;0.24691358024691357;0.5030864197530864;21.858424725822534;26.061814556331008;0.4460903005269905;0.48262619548761126;239562.1674975075;198399.89631106678;90.53747826814343;74.98106436548254
U10485_𐒅;44;54;294;85;195;301;0.494949494949495;0.14309764309764308;0.3282828282828283;0.5067340067340067;18.526857142857143;28.66057142857143;0.4210649350649351;0.5307513227513228;209894.18971428572;132426.11885714286;88.33930543530543;55.73489850889851
U10486_𐒆;45;54;209;236;226;210;0.35185185185185186;0.39730639730639733;0.38047138047138046;0.35353535353535354;21.972758229284903;26.088535754824065;0.48828351620633115;0.48312103249674193;234633.09421112377;189439.34619750286;96.55682889346657;77.95857868209994
U10487_𐒇;29;54;76;220;0;161;0.20105820105820105;0.582010582010582;0.0;0.42592592592592593;19.74835886214442;19.542669584245075;0.6809778917980835;0.36190128859713105;120029.41794310723;19384.06126914661;76.64713789470449;12.378072330234104
U10488_𐒈;34;54;187;141;201;202;0.4074074074074074;0.30718954248366015;0.43790849673202614;0.4400871459694989;16.365253077975375;28.202462380300958;0.4813309728816287;0.5222678218574252;177722.03556771544;57881.47742818057;96.7984943179278;31.525859165675694
U10489_𐒉;34;54;212;207;135;178;0.46187363834422657;0.45098039215686275;0.29411764705882354;0.3877995642701525;16.52185792349727;23.78551912568306;0.48593699774991966;0.44047257640153814;178563.32650273223;57740.65027322404;97.25671378144457;31.449155922235317
